Time (s),Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21,Node 22,Node 23
0.25,"104.208, 755.196, 1.5","204.196, 912.234, 1.5","400.484, 600.229, 1.5","170.358, 692.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.255,"119.208, 730.196, 1.5","219.196, 887.234, 1.5","415.484, 575.229, 1.5","185.358, 667.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.26,"134.208, 705.196, 1.5","234.196, 862.234, 1.5","430.484, 550.229, 1.5","200.358, 642.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.265,"149.208, 680.196, 1.5","249.196, 837.234, 1.5","445.484, 525.229, 1.5","215.358, 617.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.27,"164.208, 655.196, 1.5","264.196, 812.234, 1.5","460.484, 500.229, 1.5","230.358, 592.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.275,"179.208, 630.196, 1.5","279.196, 787.234, 1.5","475.484, 475.229, 1.5","245.358, 567.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.28,"194.208, 605.196, 1.5","294.196, 762.234, 1.5","490.484, 450.229, 1.5","260.358, 542.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.285,"209.208, 580.196, 1.5","309.196, 737.234, 1.5","505.484, 425.229, 1.5","275.358, 517.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.29,"224.208, 555.196, 1.5","324.196, 712.234, 1.5","520.484, 400.229, 1.5","290.358, 492.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.295,"239.208, 530.196, 1.5","339.196, 687.234, 1.5","535.484, 375.229, 1.5","305.358, 467.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.3,"254.208, 505.196, 1.5","354.196, 662.234, 1.5","550.484, 350.229, 1.5","320.358, 442.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.305,"269.208, 480.196, 1.5","369.196, 637.234, 1.5","565.484, 325.229, 1.5","335.358, 417.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.31,"284.208, 455.196, 1.5","384.196, 612.234, 1.5","580.484, 300.229, 1.5","350.358, 392.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.315,"299.208, 430.196, 1.5","399.196, 587.234, 1.5","595.484, 275.229, 1.5","365.358, 367.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.32,"314.208, 405.196, 1.5","414.196, 562.234, 1.5","610.484, 250.229, 1.5","380.358, 342.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.325,"329.208, 380.196, 1.5","429.196, 537.234, 1.5","625.484, 225.229, 1.5","395.358, 317.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.33,"344.208, 355.196, 1.5","444.196, 512.234, 1.5","640.484, 200.229, 1.5","410.358, 292.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.335,"359.208, 330.196, 1.5","459.196, 487.234, 1.5","655.484, 175.229, 1.5","425.358, 267.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
